%Manually identified time intervals when MAVEN observations are not suitable for SW
%MAG rolls
20160113T0100,20160113T0200
20170208T0550,20170208T0700
20180203T1540,20180203T1620
20180818T0604,20180818T0655
20180818T1440,20180818T1550
20190122T0725,20190122T0830
20190122T1145,20190122T1300
%SWIA fine energy table drops
20180109T0833,20180109T0834
20181209T0341,20181209T0342
20181221T2310,20181221T2311
20190209T2007,20190209T2008
20190316T1115,20190316T1117
20190723T1732,20190723T1733
20191101T0604,20191101T0605
20191119T1215,20191119T1435
20191222T2148,20191222T2150
20200409T0155,20200409T0156
20200904T1001,20200904T1002
20211030T2213,20211030T2215
20211203T1054,20211203T1055
20211214T0254,20211214T0255
20220731T1544,20220731T1545
20230613T0443,20230613T0444
%SW borderline outside of SWIA FOV
20150902T0410,20150902T0155
20150903T0040,20150903T0100
20160702T0754,20160702T0756
20160702T0813,20160702T0815
20160729T1720,20160729T1722
20180818T1933,20180818T1955
20181002T1638,20181002T1642
20181009T0352,20181009T0415
20181219T1310,20181219T1400
20181226T1625,20181226T1700
20181230T1405,20181230T1430
20190103T1815,20190103T1910
20190112T1850,20190112T1915
20190113T0315,20190113T0405
20190114T2345,20190115T0025
20190115T0355,20190115T0425
20190120T1140,20190120T1210
20190127T1100,20190127T1145
20190202T1215,20190202T1245
20190203T1500,20190203T1507
20190212T0100,20190212T0150
20190216T0144,20190216T0145
20190622T0855,20190622T0920
20190720T1830,20190720T2030
20190724T2230,20190724T2313
20190726T1635,20190726T1840
20190726T2345,20190727T0155
20190803T0925,20190803T0950
20190808T0655,20190808T0702
20190809T0800,20190809T0845
20190810T0700,20190810T0955
20190810T1800,20190810T2030
20190811T0830,20190811T1110
20190812T0850,20190812T0940
20190814T0925,20190814T1220
20190817T1250,20190817T1620
20191119T1215,20191119T1445
20191222T2148,20191222T2150
20211024T1055,20211024T1107
20211028T1615,20211028T1620
20211201T0855,20211201T1130
20220426T1935,20220426T1944
20220427T1340,20220427T1348
20220602T0452,20220602T0458
20220731T1912,20220731T2235
20220814T0615,20220814T0628
20220814T0711,20220814T0715
20220827T0250,20220827T0255
20221206T0735,20221206T0753
20221127T0416,20221127T0422
20221218T1603,20221218T1608
20230131T1935,20230131T1938
20230203T2042,20230203T2050
20230206T0338,20230206T0346
20230206T1814,20230206T1827
20230208T1410,20230208T1412
20230208T1838,20230208T1841
20230213T1825,20230213T1840
20230222T1438,20230222T1443
%Foreshock and other disturbances
20140702T0800,20140702T0830
20141016T2230,20141020T2045
20141021T0117,20141024T1645
20141024T1700,20141025T0250
20141029T1645,20141030T1030
20141030T1050,20141030T1950
20141030T2025,20141031T0013
20141031T0055,20141031T0450
20141031T1025,20141031T1330
20141031T1455,20141031T1850
20141031T1435,20141031T1900
20141101T0005,20141101T0850
20141101T0912,20141101T1300
20141101T1405,20141101T1845
20141111T2200,20141112T0231
20141112T0320,20141112T0437
20141112T1700,20141112T2040
20141112T2130,20141113T0110
20141115T1850,20141115T2220
20141115T2330,20141116T0315
20141116T0325,20141116T1215
20141116T1220,20141116T1730
20141116T2205,20141117T1555
20141117T1635,20141117T2030
20141118T0145,20141118T0555
20141127T0703,20141127T0955
20141127T1615,20141127T1910
20141128T1525,20141128T1805
20141127T1130,20141127T1435
20141128T1040,20141128T1330
20141212T1415,20141212T1710
20141213T1740,20141213T2035
20141214T1632,20141214T1935
20141215T0955,20141215T1008
20141215T1840,20141215T1850
20141217T0900,20141217T1130
20141217T1810,20141217T2037
20141219T2040,20141219T2305
20141221T0445,20141221T0710
20141222T2200,20141223T0017
20141228T1100,20141228T1305
20141229T0940,20141229T1307
20141231T1653,20141231T1900
20150104T1430,20150104T1545
20150109T1345,20150109T1400
20150109T2030,20150110T0008
20150110T1030,20150110T1250
20150110T1915,20150110T1940
20150114T1915,20150114T1945
20150115T0010,20150115T0230
20150126T0902,20150126T0914
20150130T0640,20150130T0910
20150130T1035,20150130T1042
20150130T1100,20150130T1230
20150130T1645,20150130T0910
20150208T0545,20150208T0945
20150208T0020,20150208T0330
20150209T2307,20150209T2313
20150223T0010,20150223T0315
20150301T1340,20150301T1700
20150310T0800,20150310T1230
20150310T1230,20150310T1345
20150310T1600,20150310T1730
20150310T1830,20150311T0230
20150525T1653,20150601T0240
20150601T1015,20150601T2230
20150602T0325,20150603T0115
20150610T1202,20150610T1530
20150610T1650,20150610T2040
20150611T1014,20150611T1325
20150612T0345,20150612T0725
20150612T0738,20150613T1015
20150613T1035,20150613T1450
20150614T1345,20150614T1740
20150616T1030,20150616T1405
20150621T0140,20150621T0520
20150622T0100,20150622T1625
20150622T1707,20150623T0600
20150619T1852,20150620T0700
20150701T2045,20150702T0000
20150702T0015,20150703T0200
20150703T0645,20150703T0715
20150703T0635,20150704T1320
20150708T0150,20150708T0607
20150714T1230,20150714T1655
20150714T1658,20150714T2047
20150714T2125,20150715T0110
20150716T1615,20150716T1655
20150717T1200,20150717T1430
20150717T1435,20150717T1438
20150729T1615,20150729T1845
20150803T1430,20150803T1637
20150807T0935,20150807T1240
20150815T2140,20150815T2240
20150825T0830,20150825T0930
20150828T2140,20150829T0023
20150829T0215,20150829T0500
20150830T0605,20150830T0830
20150831T0500,20150831T0800
20150831T0940,20150831T1230
20150831T1907,20150831T2210
20150901T0855,20150901T1133
20150902T0800,20150902T1035
20150903T1130,20150903T1425
20150907T1125,20150907T1430
20150909T1410,20150909T1650
20150910T1255,20150910T1545
20150910T1725,20150910T2020
20150913T1345,20150913T1700
20150913T1815,20150913T2130
20150913T2300,20150914T0205
20150915T1130,20150915T1440
20150916T0910,20150916T1030
20150919T1110,20150919T1425
20150924T1822,20150924T2232
20150926T1517,20150926T1518
20150929T0315,20150929T0645
20151001T1010,20151001T1400
20151001T1425,20151001T1815
20151002T0850,20151002T1235
20151002T1325,20151002T1707
20151003T0245,20151003T0645
20151005T0020,20151005T0405
20151006T1727,20151007T0605
20151007T0657,20151007T1102
20151007T1605,20151007T2005
20151007T2030,20151008T0050
20151008T0010,20151008T2300
20151011T0000,20151011T0120
20151012T1415,20151012T2222
20151012T2300,20151013T1230
20151013T2150,20151014T1555
20151014T1615,20151015T0050
20151015T1020,20151015T1415
20151015T1455,20151016T0835
20151023T1815,20151024T0715
20151024T0755,20151026T0000
20151026T0020,20151029T1450
20151105T1035,20151107T0300
20151107T0328,20151110T1740
20151112T2008,20151113T0905
20151116T0015,20151126T0945
20151128T0645,20151128T1035
20151128T1625,20151202T1935
20151202T1955,20151203T1900
20151202T1955,20151203T0030
20151205T0215,20151207T0800
20151207T1805,20151208T1600
20151208T2055,20151210T1230
20151211T0825,20151211T1545
20151214T0805,20151214T1615
20151214T2155,20151215T0630
20151215T0645,20151215T2015
20151226T0503,20151226T0907
20151226T0917,20151226T1333
20160104T0947,20160104T0948
20160121T0915,20160121T1155
20160122T0750,20160122T1015
20160122T2100,20160122T2330
%Feb
20160209T0715,20160209T0724
20160209T0739,20160209T0759
20160209T1655,20160210T0020
20160211T1740,20160211T1750
20160216T1100,20160216T1130
20160216T1510,20160216T1900
20160219T0545,20160219T0630
20160226T1320,20160226T1350
20160226T1430,20160226T1730
20160226T1910,20160226T2310
20160226T2325,20160227T0305
20160302T0210,20160302T0230
20160304T0000,20160304T0400
20160304T0405,20160304T0710
20160304T1645,20160304T2055
20160304T2105,20160305T0110
20160305T0630,20160305T1115
20160305T1530,20160305T1535
20160306T0500,20160306T0840
20160309T1815,20160309T2230
20160309T2245,20160310T0310
20160313T0850,20160313T1135
20160319T0845,20160319T1200
20160319T1753,20160319T2043
20160322T2155,20160323T0130
20160323T1550,20160323T1930
20160324T1900,20160324T2205
20160325T0830,20160325T1200
20160327T1000,20160327T1345
20160330T0040,20160330T0041
20160401T1110,20160401T1445
20160401T2000,20160401T2337
20160406T0318,20160406T0653
20160406T0720,20160407T0047
20160408T0005,20160408T0405
20160408T0900,20160410T0100
20160410T0107,20160411T1240
20160412T2044,20160413T1430
20160520T1340,20160521T1515
20160521T1546,20160523T0307
20160523T0316,20160528T1300
20160528T1430,20160528T1752
20160529T0730,20160529T1620
20160529T1633,20160530T0100
20160530T0530,20160530T1000
20160530T1015,20160530T1407
20160530T1420,20160530T1445
20160530T2345,20160531T0352
20160531T0430,20160531T0844
20160531T0850,20160531T1730
20160604T0250,20160604T2000
20160604T2100,20160605T0030
20160605T0155,20160605T0420
20160605T0540,20160605T0905
20160605T1030,20160605T1340
20160617T0945,20160617T1005
20160609T0706,20160609T0707
20160610T0220,20160610T0445
20160617T0230,20160617T0510
20160625T0345,20160625T0408
20160625T0420,20160625T0645
20160705T1016,20160705T1017
20160710T1515,20160710T1550
20160710T1607,20160710T1800
20160720T0825,20160720T0855
20160721T1235,20160721T1500
20160721T1635,20160721T1900
20160721T2130,20160721T2340
20160722T0110,20160722T0420
20160722T0600,20160722T0820
20160722T1840,20160722T2200
20160724T1520,20160724T1845
20160731T0114,20160731T0320
20160807T1110,20160807T1506
20160807T1545,20160807T2210
20160819T1707,20160819T1725
20160820T2015,20160820T2110
20160826T1900,20160826T1915
20160909T0835,20160909T1107
20160910T1605,20160910T1720
20160911T1130,20160911T1350
20160923T0502,20160923T0503
20160924T1855,20160924T2150
20161008T0945,20161008T1920
20161011T1735,20161012T0150
20161201T1230,20161203T0955
20161213T1545,20161213T2333
20161213T2340,20161214T1330
20161214T1410,20161214T1807
20161214T1900,20161214T2240
20161216T0801,20161216T0802
20161217T2040,20161218T0025
20170104T0800,20170104T1055
20170105T0700,20170105T1050
20170105T1420,20170105T1500
20170106T0005,20170106T0050
20170107T0300,20170107T0630
20170108T1315,20170108T1345
20170108T1740,20170108T2042
20170119T2010,20170119T2250
20170130T0725,20170130T1045
20170131T1507,20170131T1635
20170208T1545,20170208T1645
20170211T0830,20170211T1125
20170303T2235,20170304T1150
20170304T1208,20170304T2040
20170304T2145,20170305T0140
20170305T0153,20170305T0603
20170305T0608,20170305T1010
20170305T1150,20170305T1450
20170305T1600,20170305T1930
20170305T2046,20170306T0000
20170306T0130,20170306T0417
20170309T1448,20170309T1510
20170528T0945,20170528T1420
20170623T1615,20170623T1630
20170626T2213,20170627T0145
20170707T0300,20170707T0630
20170712T0515,20170712T0835
20170715T0935,20170715T0936
20170719T2335,20170719T0205
20170722T1010,20170722T1030
20170724T0727,20170724T1030
20170801T1430,20170801T1745
20170801T1900,20170801T2230
20170806T0302,20170806T0303
20170807T1115,20170807T1403
20170812T1800,20170812T2040
20170827T1444,20170827T1800
20170901T0515,20170901T0945
20171205T1500,20171205T1915
20171210T0440,20171210T0812
20171210T1715,20171210T2143
20171213T2003,20171213T2320
20171215T2140,20171216T0045
20171216T1445,20171216T1850
%2018
20180114T1610,20180114T1810
20180122T2125,20180123T0015
20180123T1025,20180123T1310
20180125T2021,20180125T2022
20181006T1900,20181006T2130
20181015T1400,20181015T1710
20180121T1300,20180121T1430
20180127T1935,20180127T1950
20180202T2210,20180203T0007
20180216T1114,20180216T1120
20180321T0255,20180321T0257
20180615T0116,20180615T1500
20180617T0250,20180620T0100
20180620T1010,20180620T1500
20180620T1530,20180620T1845
20180620T2345,20180622T2007
20180625T1522,20180626T0837
20180706T0100,20180706T0330
20180707T1630,20180707T2000
20180718T2000,20180718T2215
20180719T0900,20180719T1145
20180720T1935,20180720T1937
20180724T1245,20180724T1545
20180728T1030,20180728T1310
20180801T1542,20180801T1600
