%Manually identified time intervals when MAVEN is in undisturbed SW
20141101T1305,20141101T1342
20141112T1612,20141112T1640
20141112T2102,20141112T2115
20141113T1507,20141113T1615
20141113T1945,20141113T2040
20141114T0507,20141114T0512
20141114T1412,20141114T1510
20141115T2230,20141115T2320
20141204T0720,20141204T0845
20141204T1125,20141204T1300
20141217T0700,20141217T0850
20141217T1135,20141217T1330
20141217T1605,20141217T1805
20141218T0110,20141218T0320
20141218T1500,20141218T1630
20150102T0750,20150102T0845
20150102T0855,20150102T0950
20150222T0500,20150222T0550
20150222T1300,20150222T1505
20150222T1830,20150222T1920
20150222T2220,20150222T2330
20150308T1620,20150308T1635
20150308T1645,20150308T1655
20150308T2045,20150308T2140
20150620T0055,20150620T0120
20150708T0640,20150708T0750
20150708T1030,20150708T1215
20150708T1500,20150708T1650
20150708T1920,20150708T2110
20150708T2350,20150709T0040
20150727T1415,20150727T1615
20150905T0330,20150905T0500
20150906T0705,20150906T0825
20150907T1030,20150907T1120
20150909T0800,20150909T0930
20150909T1230,20150909T1400
20150922T1045,20150922T1120
20150922T1950,20150922T2110
20150923T0005,20150923T0125
20150923T0505,20150923T0535
20150923T0930,20150923T1040
20151002T0310,20151002T0415
20151002T0745,20151002T0840
20160107T1825,20160107T1945
20160107T2300,20160108T0010
20160108T0330,20160108T0455
20160108T1735,20160108T1825
20160108T2140,20160108T2320
20160109T0155,20160109T0340
20160109T1140,20160109T1245
20160110T0930,20160110T1000
20160110T1055,20160110T1140
20160111T1330,20160111T1450
20160201T0015,20160201T0220
20160201T0440,20160201T0645
20160201T0925,20160201T1120
20160201T1400,20160201T1550
20160201T1805,20160201T2030
20160201T2330,20160202T0100
20160229T1350,20160229T1450
20160229T1820,20160229T1930
20160229T2225,20160229T2350
20160301T1155,20160301T1310
20160302T0125,20160302T0210
20160302T1920,20160302T2035
20160303T0900,20160303T1015
20160303T1325,20160303T1445
20160303T1755,20160303T1915
20160303T2230,20160303T2345
20160304T0710,20160304T0850
20160304T1200,20160304T1315
20160304T1625,20160304T1645
20160304T2055,20160304T2105
20160305T0605,20160305T0630
20160305T0703,20160305T0725
20160305T1115,20160305T1135
20160306T0020,20160306T0115
20160306T0435,20160306T0500
20160306T0840,20160306T1015
20160306T1310,20160306T1445
20160306T1755,20160306T1915
20160307T0300,20160307T0415
20160307T0800,20160307T0845
20160307T1140,20160307T1320
20160307T1647,20160307T1653
20160307T2155,20160307T2223
20160308T1055,20160308T1130
20160308T1525,20160308T1600
20160308T2010,20160308T2030
20160309T0005,20160309T0100
20160309T0500,20160309T0525
20160309T0900,20160309T0953
20160309T1335,20160309T1440
20160309T1805,20160309T1815
20160310T0315,20160310T0345
20160310T0740,20160310T0830
20160310T1155,20160310T1315
20160310T1625,20160310T1750
20160310T2125,20160310T2215
20160311T0130,20160311T0250
20160311T0600,20160311T0612
20160311T0700,20160311T0720
20160311T1040,20160311T1150
20160311T1545,20160311T1615
20160311T2028,20160311T2035
20160312T0015,20160312T0020
20160312T0055,20160312T0102
20160312T0940,20160312T1012
20160312T1325,20160312T1440
20160312T1755,20160312T1805
20160312T1830,20160312T1845
20160312T1915,20160312T1930
20160312T2320,20160312T2340
20160313T0300,20160313T0410
20160313T0730,20160313T0850
20160313T1235,20160313T1300
20160313T1635,20160313T1655
20160313T2135,20160313T2203
20160314T0145,20160314T0215
20160314T0645,20160314T0715
20160314T1045,20160314T1140
20160314T1500,20160314T1605
20160314T1935,20160314T2030
20160315T0015,20160315T0100
20160315T0510,20160315T0520
20160315T0935,20160315T1000
20160315T1357,20160315T1405
20160315T1800,20160315T1820
20160315T2245,20160315T2340
20160316T0720,20160316T0843
20160721T1910,20160721T2120
20160721T2345,20160722T0110
20160911T0015,20160911T0200
20160911T0445,20160911T0700
%June
20160606T1700,20160606T1815
20160606T2045,20160606T2245
20160607T0110,20160607T0230
20160617T0510,20160617T0645
20160617T1007,20160617T1100
20170629T1725,20170629T1807
%2017
20170202T2120,20170202T2320
20170208T2050,20170208T2130
20170301T0200,20170301T0230
20170305T1015,20170305T1145
20170705T0010,20170705T0130
20170705T1820,20170705T1850
20170712T0415,20170712T0505
20170801T0900,20170801T1005
%2018
20180117T0450,20180117T0700
20180117T0910,20180117T1130
20180307T1612,20180307T1745
20180501T0140,20180501T0220
20181020T1240,20181020T1255
20181101T0530,20181101T0635
20181101T1030,20181101T1100
20180106T1310,20180106T1445
20190804T1515,20190804T1530
20190817T1200,20190817T1250
20190817T1625,20190817T1645
20180820T1015,20180820T1255
20180820T1440,20180820T1715
20190821T0100,20190821T0110
%2020
20200327T1715,20200327T1830
20200327T2100,20200327T2205
20200328T0030,20200328T0145
20200328T0745,20200328T0850
20200328T1125,20200328T1240
20200328T1835,20200328T1945
20200328T2215,20200328T2320
20200329T0210,20200329T0220
20200329T0550,20200329T0630
20200329T1255,20200329T1300
20200329T1630,20200329T1705
20200329T2015,20200329T2055
20200329T2325,20200329T2350
20200330T0005,20200330T0045
20200331T1540,20200331T1550
20200401T1717,20200401T1740
20200401T2045,20200401T2108
20200402T0315,20200402T0420
20200402T1037,20200402T1055
20200402T1137,20200402T1147
20200409T0850,20200409T0930
20200409T1235,20200409T1307
20200414T1053,20200414T1215
20200414T1430,20200414T1555
20200410T1315,20200410T1430
20200410T1700,20200410T1810
20200411T1430,20200411T1550
20200417T0410,20200417T0445
20200417T1115,20200417T1145
20200417T1200,20200417T1215
20200417T1455,20200417T1535
20200417T2250,20200417T2300
20200420T0415,20200420T0515
20200421T0545,20200421T0625
20200421T1245,20200421T1330
20200421T1605,20200421T1720
20200422T0712,20200422T0735
20200430T2345,20200501T0045
20200830T0700,20200830T0735
20200904T0900,20200904T1015
20200912T1515,20200912T1605
20200912T1900,20200912T1930
20200913T0200,20200913T0245
20200913T0538,20200913T0607
20200913T1300,20200913T1330
20200913T1625,20200913T1700
20200913T2000,20200913T2037
20200913T2345,20200914T0020
20200914T0320,20200914T0355
20200914T0658,20200914T0725
20200914T1030,20200914T1100
%2021
20210205T1725,20210205T1815
20210206T0745,20210206T0845
20210206T1835,20210206T1915
20210208T1800,20210208T1830
20210208T2110,20210208T2145
20210210T0200,20210210T0230
20210210T0920,20210210T1010
20210210T1310,20210210T1340
20210210T1625,20210210T1725
20210124T0953,20210124T1005
20210124T1237,20210124T1247
20210124T1320,20210124T1350
20210124T1645,20210124T1655
20210126T0125,20210126T0130
20210126T1242,20210126T1247
20210126T1525,20210126T1535
20210127T1650,20210127T1730
20210127T2355,20210128T0015
20210128T2150,20210128T2220
20210129T0120,20210129T0155
20210129T0815,20210129T0920
20210129T1115,20210129T1310
%Feb
20210202T0633,20210202T0610
20210202T2110,20210202T2132
20210203T0745,20210203T0815
20210203T1105,20210203T1130
20210203T1455,20210203T1535
20210203T1845,20210203T1910
20210203T2120,20210203T2255
20210204T1255,20210204T1305
20210204T1620,20210204T1650
20210205T0630,20210205T0730
20210206T0450,20210206T0505
20210206T0800,20210206T0845
20210206T1835,20210206T1915
20210207T2345,20210207T2350
20210208T0700,20210208T0715
20210208T1025,20210208T1040
20210208T1410,20210208T1435
20210208T1755,20210208T1815
20210208T2115,20210208T2145
20210210T0215,20210210T0230
20210210T0920,20210210T1010
20210210T1630,20210210T1725
20210211T1430,20210211T1500
%March
20210301T1210,20210301T1235
20210301T2300,20210301T2315
20210302T1330,20210302T1345
20210303T0740,20210303T0800
%June
20210612T2120,20210612T2140
20210629T1412,20210629T1420
%July
20210701T1630,20210701T1650
20210702T1410,20210702T1435
20210703T0810,20210703T0830
20210703T1510,20210703T1550
20210703T1900,20210703T1915
20210720T0030,20210720T0105
%Oct
20211005T1205,20211005T1240
20211005T1920,20211005T1945
20211005T2300,20211005T2340
20211007T1100,20211007T1140
20211007T1830,20211007T1900
20211008T0130,20211008T0200
20211008T0510,20211008T0520
20211008T0855,20211008T0915
20211010T0750,20211010T0805
20211013T1830,20211013T1850
20211015T1725,20211015T1830
20211016T0035,20211016T0135
20211016T0420,20211016T0445
20211016T1135,20211016T1225
20211016T2220,20211016T2320
20211017T0155,20211017T0305
20211017T1300,20211017T1340
20211017T2000,20211017T2100
20211018T0650,20211018T0730
20211018T1020,20211018T1125
20211018T1350,20211018T1430
20211018T1730,20211018T1850
20211018T2110,20211018T2220
20211019T0115,20211019T0200
20211019T0435,20211019T0455
20211019T0800,20211019T0900
20211019T1145,20211019T1250
20211019T1510,20211019T1600
20211020T0600,20211020T0620
20211020T2005,20211020T2100
20211021T0320,20211021T0400
20211022T0040,20211022T0155
20211022T0800,20211022T0923
20211022T1140,20211022T1245
20211023T2340,20211024T0110
20211024T0330,20211024T0345
20211024T0420,20211024T0440
20211031T1920,20211031T2045
20211031T2255,20211101T0025
%Nov
20211101T0230,20211101T0410
20211101T0600,20211101T0720
20211101T0945,20211101T1120
20211101T1320,20211101T1450
20211101T1707,20211101T1805
20211101T2037,20211101T2145
20211102T0007,20211102T0130
20211102T0415,20211102T0530
20211102T0715,20211102T0845
20211102T1100,20211102T1235
20211104T2108,20211104T2220
20211105T0035,20211105T0200
20211105T0400,20211105T0420
20211105T0500,20211105T0522
20211105T0750,20211105T0900
20211106T0915,20211106T1015
20211106T1230,20211106T1352
20211130T1020,20211130T1145
20211130T1355,20211130T1517
%Dec
20211202T1330,20211202T1420
20211202T2000,20211202T2125
20211202T2340,20211203T0100
20211203T0335,20211203T0440
20211205T0205,20211205T0330
20211205T0600,20211205T0638
20211205T0930,20211205T1037
20211205T1645,20211205T1745
20211211T1335,20211211T1445
20211211T1700,20211211T1823
20211211T2045,20211211T2200
20211212T0015,20211212T0130
20211212T0350,20211212T0510
20211212T0740,20211212T0845
20211212T1120,20211212T1215
20211213T0230,20211213T0250
20211213T0520,20211213T0620
20211213T0845,20211213T0945
20211213T2315,20211214T0020
20211214T0300,20211214T0345
20211214T1350,20211214T1430
20211214T1720,20211214T1820
20211214T2040,20211214T2200
20211215T0020,20211215T0140
20211215T0350,20211215T0510
20211217T1740,20211217T1845
20211217T2130,20211217T2200
20211218T0050,20211218T0130
20211218T1510,20211218T1610
20211219T0227,20211219T0335
20211220T1825,20211220T1840
20211221T0025,20211221T0145
20211221T0430,20211221T0510
20211221T1130,20211221T1200
20211221T1900,20211221T2000
20211221T2225,20211221T2325
20211222T0225,20211222T0245
20211227T0540,20211227T0555
20211227T0920,20211227T0935
20211227T1230,20211227T1305
20211227T1555,20211227T1630
20211227T2255,20211227T2335
20211228T0235,20211228T0320
20211228T0615,20211228T0700
20211228T0950,20211228T1045
20211228T1325,20211228T1405
20211228T1655,20211228T1723
20211228T2045,20211228T2130
20211229T0030,20211229T0105
%2022
20220101T1820,20220101T1915
20220518T1845,20220518T1925
%July
20220731T1230,20220731T1245
20220731T1550,20220731T1615
20220731T1915,20220731T2005
20220801T0310,20220801T0315
20220801T0600,20220801T0710
20220801T1005,20220801T1050
20220801T1310,20220801T1350
20220801T1700,20220801T1750
20220801T2030,20220801T2135
%gap
20220811T2330,20220812T0005
20220812T0240,20220812T0335
20220812T0605,20220812T0725
20220812T0955,20220812T1050
20220812T1103,20220812T1114
20220812T1345,20220812T1352
20220812T1415,20220812T1447
20220812T2115,20220812T2202
20220813T0035,20220813T0044
20220813T0427,20220813T0440
20220813T2255,20220813T2320
20220814T0225,20220814T0310
20220814T0555,20220814T0615
20220814T0625,20220814T0650
20220814T1000,20220814T1045
20220814T1315,20220814T1400
20220814T1653,20220814T1805
20220814T2042,20220814T2047
20220814T2100,20220814T2140
20220815T0035,20220815T0115
20220815T0415,20220815T0435
20220815T1117,20220815T1200
20220815T1510,20220815T1545
20220815T1838,20220815T1900
20220815T1938,20220815T1942
20220815T2245,20220815T2315
20220816T0552,20220816T0645
20220816T0910,20220816T1021
20220817T1100,20220817T1200
20220830T1015,20220830T1145
%2023
20230109T1345,20230109T1505
20230118T0330,20230118T0345
20230131T2305,20230201T0010
20230213T0730,20230213T0745
20230215T1827,20230215T1832
%Oct
20231014T2020,20231014T2120
%Nov
20231124T0740,20231124T0830
20231124T1100,20231124T1200
20231124T1045,20231124T1200
%Dec
20231210T0645,20231210T0650
20231210T0708,20231210T0742
20231210T1025,20231210T1105
%2024
20230115T0515,20230115T0615
20230115T0900,20230115T0950
20240316T1808,20240316T1825
20240316T2130,20240316T2150
20240316T2210,20240316T2230
20240317T0115,20240317T0200
20240317T1925,20240317T2015
20240317T2300,20240318T0000
20240318T0245,20240318T0330
20240405T0500,20240405T0515
20240405T0810,20240405T0845
20240416T1800,20240416T1840
20240416T2140,20240416T2220
20240417T0135,20240417T0155
20240417T1555,20240417T1630
20240418T1405,20240418T1420
20240912T1145,20240912T1230
20240912T1530,20240912T1615
